#b_parallel b_perpendicular x y z 
1500.000000 500.000000 -0.327756 -0.105010 -0.938909
1500.000000 500.000000 -0.018936 0.991058 0.132080
1500.000000 500.000000 0.442022 -0.211588 0.871692
1500.000000 500.000000 0.039470 -0.724305 -0.688349
1500.000000 500.000000 -0.320611 0.182642 0.929436
1500.000000 500.000000 0.459862 0.368147 -0.808081
1500.000000 500.000000 -0.382949 -0.812651 0.439258
1500.000000 500.000000 0.777662 0.542477 0.317745
1500.000000 500.000000 -0.243297 -0.130966 0.961069
1500.000000 500.000000 -0.519247 0.770046 0.370691
1500.000000 500.000000 0.860206 -0.350298 0.370590
1500.000000 500.000000 0.166135 0.453334 0.875721
1500.000000 500.000000 0.143467 0.974235 -0.174023
1500.000000 500.000000 -0.527175 0.363027 0.768309
1500.000000 500.000000 -0.731190 -0.242485 0.637622
670.820393 223.606798 0.344538 -0.274708 0.076347
670.820393 223.606798 -0.193892 0.246623 -0.318722
670.820393 223.606798 -0.029331 0.307085 -0.323788
670.820393 223.606798 -0.304438 0.228058 0.235175
670.820393 223.606798 0.086488 -0.191217 0.394913
670.820393 223.606798 -0.204327 -0.393154 0.060669
670.820393 223.606798 0.284134 -0.273158 0.211311
670.820393 223.606798 0.287481 0.339472 0.045967
670.820393 223.606798 0.148239 -0.419875 -0.041598
670.820393 223.606798 -0.345872 -0.125193 -0.254360
670.820393 223.606798 -0.355311 0.254847 0.093847
670.820393 223.606798 -0.168371 0.294315 0.291598
670.820393 223.606798 0.268806 0.251672 -0.253780
670.820393 223.606798 -0.079634 0.212998 0.385084
670.820393 223.606798 -0.211217 -0.353441 -0.174547
670.820393 223.606798 0.059680 0.193539 -0.398724
670.820393 223.606798 -0.040895 0.061021 -0.441140
670.820393 223.606798 -0.130755 -0.303523 -0.301292
670.820393 223.606798 0.273373 -0.353080 -0.024536
670.820393 223.606798 0.415689 -0.164636 0.009883
670.820393 223.606798 -0.137434 -0.420346 -0.066493
670.820393 223.606798 -0.000546 -0.082611 -0.439517
670.820393 223.606798 0.248843 0.013849 -0.371329
670.820393 223.606798 0.437163 -0.029624 0.089503
