# b_parallel b_perpendicular x y z 
6.666666666666666288e+02 6.666666666666666288e+02 -1.954809999999999881e-01 -9.788930000000000131e-01 5.963000000000000245e-02
6.666666666666666288e+02 6.666666666666666288e+02 -7.849599999999999911e-01 -2.342539999999999900e-01 -5.735529999999999795e-01
6.666666666666666288e+02 6.666666666666666288e+02 -5.669210000000000083e-01 -6.213330000000000242e-01 -5.408749999999999947e-01
6.666666666666666288e+02 6.666666666666666288e+02 -2.246849999999999958e-01 -8.908239999999999492e-01 -3.949030000000000040e-01
6.666666666666666288e+02 6.666666666666666288e+02 4.242770000000000152e-01 2.134590000000000098e-01 8.800139999999999629e-01
6.666666666666666288e+02 6.666666666666666288e+02 -6.751589999999999536e-01 1.948499999999999954e-01 -7.114730000000000221e-01
6.666666666666666288e+02 6.666666666666666288e+02 -3.894850000000000256e-01 -8.164639999999999675e-01 4.262489999999999890e-01
6.666666666666666288e+02 6.666666666666666288e+02 -8.959789999999999699e-01 -4.176150000000000140e-01 -1.510620000000000018e-01
6.666666666666666288e+02 6.666666666666666288e+02 3.775200000000000083e-02 6.690199999999999481e-01 -7.422849999999999726e-01
6.666666666666666288e+02 6.666666666666666288e+02 1.490239999999999898e-01 -9.136319999999999997e-01 3.782440000000000246e-01
6.666666666666666288e+02 6.666666666666666288e+02 5.083699999999999886e-01 4.796549999999999980e-01 -7.151859999999999884e-01
6.666666666666666288e+02 6.666666666666666288e+02 2.319029999999999980e-01 -9.652749999999999941e-01 -1.202690000000000009e-01
6.666666666666666288e+02 6.666666666666666288e+02 1.431669999999999887e-01 5.890370000000000328e-01 7.953230000000000022e-01
6.666666666666666288e+02 6.666666666666666288e+02 4.275630000000000264e-01 -6.334030000000000493e-01 6.449730000000000185e-01
6.666666666666666288e+02 6.666666666666666288e+02 5.724749999999999561e-01 -8.071049999999999613e-01 1.444060000000000066e-01
6.666666666666666288e+02 6.666666666666666288e+02 -6.138249999999999540e-01 7.124639999999999862e-01 3.400199999999999889e-01
6.666666666666666288e+02 6.666666666666666288e+02 -4.107899999999999746e-02 1.904160000000000019e-01 9.808440000000000492e-01
6.666666666666666288e+02 6.666666666666666288e+02 8.092719999999999914e-01 1.600070000000000103e-01 -5.652230000000000310e-01
6.666666666666666288e+02 6.666666666666666288e+02 -7.836629999999999985e-01 -5.473839999999999817e-01 2.936710000000000154e-01
6.666666666666666288e+02 6.666666666666666288e+02 7.869800000000000129e-01 -3.120689999999999853e-01 -5.322360000000000424e-01
6.666666666666666288e+02 6.666666666666666288e+02 7.877769999999999495e-01 -4.906820000000000070e-01 3.723409999999999775e-01
6.666666666666666288e+02 6.666666666666666288e+02 6.079780000000000184e-01 7.902069999999999927e-01 7.703799999999999537e-02
6.666666666666666288e+02 6.666666666666666288e+02 -3.944949999999999846e-01 4.771389999999999798e-01 7.853099999999999525e-01
6.666666666666666288e+02 6.666666666666666288e+02 -2.740779999999999883e-01 2.562099999999999933e-01 -9.269509999999999694e-01
6.666666666666666288e+02 6.666666666666666288e+02 -2.024279999999999968e-01 8.066900000000000182e-01 5.552249999999999686e-01
6.666666666666666288e+02 6.666666666666666288e+02 -8.992769999999999930e-01 4.292380000000000084e-01 8.399399999999999922e-02
6.666666666666666288e+02 6.666666666666666288e+02 -9.596829999999999528e-01 7.170300000000000284e-02 -2.717840000000000256e-01
0.000000000000000000e+00 1.000000000000000000e+03 -3.464920000000000222e-01 -6.806980000000000253e-01 -6.454410000000000425e-01
0.000000000000000000e+00 1.000000000000000000e+03 6.978020000000000334e-01 -2.835440000000000182e-01 -6.577800000000000313e-01
0.000000000000000000e+00 1.000000000000000000e+03 -7.388590000000000435e-01 6.625820000000000043e-01 1.227729999999999932e-01
0.000000000000000000e+00 1.000000000000000000e+03 2.998299999999999854e-01 -9.182160000000000322e-01 2.588070000000000093e-01
0.000000000000000000e+00 1.000000000000000000e+03 7.975590000000000179e-01 4.855289999999999884e-01 -3.579959999999999809e-01
0.000000000000000000e+00 1.000000000000000000e+03 2.515740000000000198e-01 7.963630000000000431e-01 -5.500150000000000317e-01
0.000000000000000000e+00 1.000000000000000000e+03 -5.513789999999999525e-01 -8.934400000000000674e-02 -8.294569999999999999e-01
0.000000000000000000e+00 1.000000000000000000e+03 -9.943440000000000056e-01 6.354300000000000226e-02 8.509700000000000597e-02
0.000000000000000000e+00 1.000000000000000000e+03 -3.642509999999999915e-01 -9.293019999999999614e-01 -6.099299999999999861e-02
0.000000000000000000e+00 1.000000000000000000e+03 -2.303139999999999910e-01 4.683669999999999778e-01 -8.529870000000000507e-01
0.000000000000000000e+00 1.000000000000000000e+03 2.417559999999999987e-01 -8.474420000000000286e-01 -4.726469999999999838e-01
0.000000000000000000e+00 1.000000000000000000e+03 -8.700399999999999801e-02 2.937330000000000219e-01 9.519199999999999884e-01
0.000000000000000000e+00 1.000000000000000000e+03 -8.509759999999999547e-01 -4.204370000000000052e-01 -3.147590000000000110e-01
0.000000000000000000e+00 1.000000000000000000e+03 4.161960000000000104e-01 2.540709999999999913e-01 -8.730569999999999720e-01
0.000000000000000000e+00 1.000000000000000000e+03 7.876929999999999765e-01 -3.930870000000000197e-01 4.743649999999999811e-01
